[2025-01-01T05:55:00,733][INFO ][o.e.e.NodeEnvironment    ] [wsapp-node-1] heap size [3.8gb], compressed ordinary object pointers [true]
[2025-01-01T05:55:00,781][INFO ][o.e.n.Node               ] [wsapp-node-1] node name [wsapp-node-1], node ID [Z6KwJ9ixRF6OP50gCIYmvw], cluster name [wsapp-local], roles [data_cold, data, remote_cluster_client, master, data_warm, data_content, transform, data_hot, ml, data_frozen, ingest]
[2025-01-01T05:55:11,414][INFO ][o.e.x.m.p.l.CppLogMessageHandler] [wsapp-node-1] [controller/4688] [Main.cc@123] controller (64 bit): Version 8.11.3 (Build c16ff912638f0a) Copyright (c) 2023 Elasticsearch BV
[2025-01-01T05:55:13,175][INFO ][o.e.x.s.Security         ] [wsapp-node-1] Security is disabled
[2025-01-01T05:55:14,758][INFO ][o.e.x.p.ProfilingPlugin  ] [wsapp-node-1] Profiling is enabled
[2025-01-01T05:55:14,856][INFO ][o.e.x.p.ProfilingPlugin  ] [wsapp-node-1] profiling index templates will not be installed or reinstalled
[2025-01-01T05:55:16,930][INFO ][o.e.t.n.NettyAllocator   ] [wsapp-node-1] creating NettyAllocator with the following configs: [name=elasticsearch_configured, chunk_size=1mb, suggested_max_allocation_size=1mb, factors={es.unsafe.use_netty_default_chunk_and_page_size=false, g1gc_enabled=true, g1gc_region_size=4mb}]
[2025-01-01T05:55:17,005][INFO ][o.e.i.r.RecoverySettings ] [wsapp-node-1] using rate limit [40mb] with [default=40mb, read=0b, write=0b, max=0b]
[2025-01-01T05:55:17,140][INFO ][o.e.d.DiscoveryModule    ] [wsapp-node-1] using discovery type [single-node] and seed hosts providers [settings]
[2025-01-01T05:55:21,358][INFO ][o.e.n.Node               ] [wsapp-node-1] initialized
[2025-01-01T05:55:21,360][INFO ][o.e.n.Node               ] [wsapp-node-1] starting ...
[2025-01-01T05:55:21,397][INFO ][o.e.x.s.c.f.PersistentCache] [wsapp-node-1] persistent cache index loaded
[2025-01-01T05:55:21,404][INFO ][o.e.x.d.l.DeprecationIndexingComponent] [wsapp-node-1] deprecation component started
[2025-01-01T05:55:21,724][INFO ][o.e.t.TransportService   ] [wsapp-node-1] publish_address {192.168.0.17:9300}, bound_addresses {[::]:9300}
[2025-01-01T05:55:22,970][INFO ][o.e.c.c.ClusterBootstrapService] [wsapp-node-1] this node has not joined a bootstrapped cluster yet; [cluster.initial_master_nodes] is set to [wsapp-node-1]
[2025-01-01T05:55:23,010][INFO ][o.e.c.c.Coordinator      ] [wsapp-node-1] setting initial configuration to VotingConfiguration{Z6KwJ9ixRF6OP50gCIYmvw}
